race_date,event,course,percent_off_best,race_time_sec,pre_race_14d_load,pre_race_14d_distance_km,pre_race_14d_sessions
2024-12-08,1650 FR SCY,SCY,4.286746054115001,1184.03,1423.9743938617144,18.836640502929686,8
2024-12-08,100 FR SCY,SCY,1.5962924819773423,59.19,1423.9743938617144,18.836640502929686,8
2025-02-01,500 FR SCY,SCY,8.600797790733363,353.93,2091.7503067404527,34.92506047058105,12
2025-02-01,50 FR SCY,SCY,6.220614828209774,29.37,2091.7503067404527,34.92506047058105,12
2025-02-01,200 FR SCY,SCY,11.086154339804262,138.48,2091.7503067404527,34.92506047058105,12
2025-02-02,100 FR SCY,SCY,4.462753175420532,60.86,2091.7503067404527,34.92506047058105,12
2025-02-02,400 IM SCY,SCY,3.640823704086253,321.1,2091.7503067404527,34.92506047058105,12
2025-02-02,100 BK SCY,SCY,6.2816616008105415,73.43,2091.7503067404527,34.92506047058105,12
2025-04-04,100 FR SCY,SCY,2.9522828698935784,59.98,1334.8743300439398,21.579840576171875,6
2025-04-04,100 FR SCY,SCY,7.826982492276008,62.82,1334.8743300439398,21.579840576171875,6
2025-04-04,200 FR SCY,SCY,4.299695170864763,130.02,1334.8743300439398,21.579840576171875,6
2025-04-04,200 FR SCY,SCY,3.8424514679929342,129.45,1334.8743300439398,21.579840576171875,6
2025-04-12,100 FL LCM,LCM,5.651429324199719,80.2,2116.1360247330426,27.70632073974609,8
2025-04-12,400 FR LCM,LCM,3.580080753701207,307.84,2116.1360247330426,27.70632073974609,8
2025-04-12,50 FR LCM,LCM,2.538560411311052,31.91,2116.1360247330426,27.70632073974609,8
2025-04-25,500 FR SCY,SCY,4.713102178582392,341.26,2545.0231904894263,38.35908102416992,11
2025-04-25,500 FR SCY,SCY,3.304694691623209,336.67,2545.0231904894263,38.35908102416992,11
2025-04-25,100 BK SCY,SCY,5.471124620060792,72.87,2545.0231904894263,38.35908102416992,11
2025-04-25,100 BK SCY,SCY,1.157909972499634,69.89,2545.0231904894263,38.35908102416992,11
2025-05-07,500 FR SCY,SCY,0.5001534212948744,327.53,1800.8500862004755,31.295340835571288,13
2025-05-07,500 FR SCY,SCY,0.0,325.9,1800.8500862004755,31.295340835571288,13
2025-05-07,100 FR SCY,SCY,0.0,58.26,1800.8500862004755,31.295340835571288,13
2025-05-07,200 FR SCY,SCY,0.0,124.66,1800.8500862004755,31.295340835571288,13
2025-05-07,200 FR SCY,SCY,0.1443927482753143,124.84,1800.8500862004755,31.295340835571288,13
2025-05-10,100 FR SCY,SCY,2.042567799519404,59.45,1570.8100972058771,27.363420730590818,13
2025-05-10,100 BK SCY,SCY,0.0144738746562323,69.1,1570.8100972058771,27.363420730590818,13
2025-05-10,1000 FR SCY,SCY,1.264866626183047,683.71,1570.8100972058771,27.363420730590818,13
2025-05-17,200 FR LCM,LCM,4.107678359718261,149.28,1599.1890851207163,26.22042070007324,11
2025-05-17,100 BK LCM,LCM,0.0,80.85,1599.1890851207163,26.22042070007324,11
2025-05-17,50 FR LCM,LCM,1.5424164524421609,31.6,1599.1890851207163,26.22042070007324,11
2025-06-06,1500 FR LCM,LCM,0.6847092689501417,1210.2,1608.9285977863292,27.98810050964355,10
2025-06-06,200 FR LCM,LCM,0.0,143.39,1608.9285977863292,27.98810050964355,10
2025-06-07,50 FL LCM,LCM,0.0,33.76,1445.193372039199,25.336340438842768,9
2025-06-07,400 FR LCM,LCM,0.0,297.2,1445.193372039199,25.336340438842768,9
2025-06-08,800 FR LCM,LCM,0.0,611.04,1445.193372039199,25.336340438842768,9
2025-06-28,100 FL LCM,LCM,0.0,75.91,2812.859313276033,49.874360321044925,15
