week_start,sessions,total_distance_km,total_duration_min,mean_avg_hr,max_hr,mean_hrr_intensity,total_near_max_min,total_simple_hr_load,total_zone_weighted_load,total_combined_load,mean_load_per_km,mean_hr_efficiency_proxy,mean_pace_50_s,load_4w_avg,hr_4w_avg,near_max_4w_avg,load_delta,load_pct_change,acute_load_2w,chronic_load_6w,acute_chronic_ratio,near_max_share,load_per_hour,high_intensity_week,high_load_week,low_load_week,load_phase,phase_with_intensity,previous_phase,phase_transition
2024-12-09,3,8.686800231933592,258.57678591807684,151.92664561630474,194.0,0.6023166355766293,58.76669134100278,158.1313320400199,480.8714857359727,774.7049424409865,85.0285084603154,0.3270167663516923,49.687721539656486,843.0268284862241,140.63089247318612,56.42498597353697,106.3622411708036,15.914326732178342,721.5238218555845,895.9880167480973,0.8052828925930128,0.2272697880915785,179.76206325491984,True,False,False,mixed,mixed + intensity,recovery,recovery -> mixed
2024-12-16,5,22.128480590820317,664.8837490558624,150.64833867833832,196.0,0.5932506289243853,104.04999999602636,393.98234637529777,916.2570511917272,1436.507051171859,64.5463737886698,0.3172666568666535,47.76071248764349,928.5686814477046,142.35606711569503,68.52500057468812,661.8021087308725,85.42634395046286,1105.6059968064226,905.30571754343,1.2212515345716721,0.15649352258011687,129.6323202254564,False,False,False,loading,loading,mixed,mixed -> loading
2024-12-23,3,15.133320404052734,396.7181224147479,149.44962549885,199.00000000000003,0.5847491170131206,81.33323511282603,232.3528126387314,670.9583494464557,1077.6245250105858,67.12191784510235,0.3194309983491165,47.49651951993064,989.2948049734036,144.72619723611405,76.82497601757447,-358.8825261612733,-24.9829978814589,1257.0657880912222,981.0398150212235,1.2813606225186969,0.20501517454702112,162.98088705168647,False,False,False,mixed,mixed,loading,loading -> mixed
2024-12-30,6,28.552140762329103,891.0586004177729,147.15802903154557,194.0,0.5684966597981954,211.8665539820989,507.979792919485,1031.1843332350254,2090.51710314552,73.56269912328159,0.3409231534303845,50.02721978911273,1344.8384054422377,149.79565970625964,114.00412010798853,1012.8925781349344,93.99308893095065,1584.0708140780528,1147.0693923244874,1.3809720882430667,0.2377694956120341,140.76630440458445,True,True,False,loading,loading + intensity,mixed,mixed -> loading
2025-01-06,4,16.024860427856442,495.6696750322978,150.30921011261256,206.0,0.5908454617915784,93.11638272603354,293.05340657152584,869.9546847979228,1335.5365984280904,82.1732034587598,0.3314508775327544,49.44130725560312,1485.0463194390138,149.3913008303366,122.5915429542462,-754.9805047174298,-36.11453374772394,1713.026850786805,1230.5388202445374,1.392094928339104,0.18785975300983682,161.66451155290872,False,False,False,mixed,mixed,loading,loading -> mixed
2025-01-13,4,16.253460433959958,523.7306496322155,144.60678440246537,193.0,0.5504027262586196,91.54987700184186,287.8485019322197,523.7306496322155,981.4800346414248,60.93574101427554,0.3242518530113524,46.91899946878957,1371.2895653064052,147.8809122613684,119.46651220570008,-354.0565637866656,-26.510435146695766,1158.5083165347573,1282.7283758064111,0.9031594984452102,0.1748033594484719,112.44100783454155,False,False,False,unloading,unloading,mixed,mixed -> unloading
2025-01-20,7,18.831620040893554,692.2948616325855,143.7310942178872,202.0,0.544192157573668,97.26868598858516,352.01988195477264,815.5985021809737,1301.9419321238995,93.18713042363925,0.3676983782861545,53.32989414173862,1427.3689170847335,146.45127944112767,123.45037492463987,320.4618974824747,32.650882969774585,1141.710983382662,1370.60120742023,0.8330001295793479,0.14050181704253,112.8370586822179,False,False,False,mixed,mixed,unloading,unloading -> mixed
2025-01-27,5,16.093440429687497,546.1657298823197,136.8911030023624,195.0,0.4956815815770383,69.76653009255728,268.6630898696302,546.1657298823197,894.9983803451062,57.8311371216353,0.3357302563840398,45.753589137061546,1128.4892363846302,143.8845479338319,87.92536895225446,-406.94355177879333,-31.256659128793352,1098.4701562345026,1280.349762282438,0.8579453744547861,0.127738754512462,98.32162635373861,False,False,False,unloading,unloading,mixed,mixed -> unloading
2025-02-03,1,0.0,120.16042175094286,,,,0.0,0.0,0.0,0.0,,,,794.6050867776075,141.74299387423832,64.64627327074608,-894.9983803451062,-100.0,447.49919017255297,1100.7456747806737,0.4065418565116945,0.0,0.0,False,False,True,recovery,recovery,unloading,unloading -> recovery
2025-02-10,6,22.014180587768557,800.5974978824456,132.06857828734232,194.0,0.4614792786336334,81.64583331545194,367.7069222013392,800.5974978824456,1208.8266644597052,59.7397649224134,0.4074571539954741,53.84587679648496,851.4417442321777,137.56359183586395,62.17026234914859,1208.8266644597052,inf,604.4133322298525,953.7972683330377,0.6336916159197987,0.10198112476169675,90.59433742850902,False,False,False,mixed,mixed,recovery,recovery -> mixed
