swimmer,event,course,time,time_seconds,date,meet,age,points,team,lsc,standard,rank,person_key,swim_event_key,meet_key,sort_key,usas_swim_time_key,source_file,raw_json,race_date,race_time,race_time_sec,distance,stroke,raw_record,event_course,event_best_sec,is_best_time,percent_off_best,is_current_year
gmo,200 IM SCY,SCY,3:02.76,182.76,2020-02-23,2020 PC NVST C/B/A+,10,359.0,San Francisco Serpents,PC,2016-2020 BB,,1731452,21,5416,1210018276.0,21244225,gmo-result,"{""Age"": ""10"", ""Event"": ""200 IM SCY"", ""LSC"": ""PC"", ""Meet"": ""2020 PC NVST C/B/A+"", ""MeetKey"": ""5416"", ""PersonKey"": ""1731452"", ""Points"": ""359"", ""SortKey"": ""1210018276.00"", ""Swim Date"": ""02/23/2020"", ""Swim Time"": ""3:02.76"", ""SwimEventKey"": ""21"", ""Team"": ""San Francisco Serpents"", ""Time Standard"": ""2016-2020 BB"", ""UsasSwimTimeKey"": ""21244225""}",2020-02-23,3:02.76,182.76,200.0,individual medley,"{'Age': '10', 'Event': '200 IM SCY', 'LSC': 'PC', 'Meet': '2020 PC NVST C/B/A+', 'MeetKey': '5416', 'PersonKey': '1731452', 'Points': '359', 'SortKey': '1210018276.00', 'Swim Date': '02/23/2020', 'Swim Time': '3:02.76', 'SwimEventKey': '21', 'Team': 'San Francisco Serpents', 'Time Standard': '2016-2020 BB', 'UsasSwimTimeKey': '21244225'}",200 IM SCY SCY,152.81,False,19.5995026503501,False
gmo,200 FR SCY,SCY,2:34.94,154.94,2020-02-23,2020 PC NVST C/B/A+,10,396.0,San Francisco Serpents,PC,2016-2020 A,,1731452,3,5416,1030015494.0,129770396,gmo-result,"{""Age"": ""10"", ""Event"": ""200 FR SCY"", ""LSC"": ""PC"", ""Meet"": ""2020 PC NVST C/B/A+"", ""MeetKey"": ""5416"", ""PersonKey"": ""1731452"", ""Points"": ""396"", ""SortKey"": ""1030015494.00"", ""Swim Date"": ""02/23/2020"", ""Swim Time"": ""2:34.94"", ""SwimEventKey"": ""3"", ""Team"": ""San Francisco Serpents"", ""Time Standard"": ""2016-2020 A"", ""UsasSwimTimeKey"": ""129770396""}",2020-02-23,2:34.94,154.94,200.0,freestyle,"{'Age': '10', 'Event': '200 FR SCY', 'LSC': 'PC', 'Meet': '2020 PC NVST C/B/A+', 'MeetKey': '5416', 'PersonKey': '1731452', 'Points': '396', 'SortKey': '1030015494.00', 'Swim Date': '02/23/2020', 'Swim Time': '2:34.94', 'SwimEventKey': '3', 'Team': 'San Francisco Serpents', 'Time Standard': '2016-2020 A', 'UsasSwimTimeKey': '129770396'}",200 FR SCY SCY,124.66,False,24.2900689876464,False
gmo,200 IM SCY,SCY,2:56.25,176.25,2020-11-21,2020 SN CCA Nov Time Trial,11,292.0,California Capital Aquatics,SN,2020-2024 B,,1731452,21,25020,1210017625.0,94429643,gmo-result,"{""Age"": ""11"", ""Event"": ""200 IM SCY"", ""LSC"": ""SN"", ""Meet"": ""2020 SN CCA Nov Time Trial"", ""MeetKey"": ""25020"", ""PersonKey"": ""1731452"", ""Points"": ""292"", ""SortKey"": ""1210017625.00"", ""Swim Date"": ""11/21/2020"", ""Swim Time"": ""2:56.25"", ""SwimEventKey"": ""21"", ""Team"": ""California Capital Aquatics"", ""Time Standard"": ""2020-2024 B"", ""UsasSwimTimeKey"": ""94429643""}",2020-11-21,2:56.25,176.25,200.0,individual medley,"{'Age': '11', 'Event': '200 IM SCY', 'LSC': 'SN', 'Meet': '2020 SN CCA Nov Time Trial', 'MeetKey': '25020', 'PersonKey': '1731452', 'Points': '292', 'SortKey': '1210017625.00', 'Swim Date': '11/21/2020', 'Swim Time': '2:56.25', 'SwimEventKey': '21', 'Team': 'California Capital Aquatics', 'Time Standard': '2020-2024 B', 'UsasSwimTimeKey': '94429643'}",200 IM SCY SCY,152.81,False,15.33931025456449,False
gmo,200 FR SCY,SCY,2:34.21,154.21,2020-11-21,2020 SN CCA Nov Time Trial,11,262.0,California Capital Aquatics,SN,2020-2024 B,,1731452,3,25020,1030015421.0,137357784,gmo-result,"{""Age"": ""11"", ""Event"": ""200 FR SCY"", ""LSC"": ""SN"", ""Meet"": ""2020 SN CCA Nov Time Trial"", ""MeetKey"": ""25020"", ""PersonKey"": ""1731452"", ""Points"": ""262"", ""SortKey"": ""1030015421.00"", ""Swim Date"": ""11/21/2020"", ""Swim Time"": ""2:34.21"", ""SwimEventKey"": ""3"", ""Team"": ""California Capital Aquatics"", ""Time Standard"": ""2020-2024 B"", ""UsasSwimTimeKey"": ""137357784""}",2020-11-21,2:34.21,154.21,200.0,freestyle,"{'Age': '11', 'Event': '200 FR SCY', 'LSC': 'SN', 'Meet': '2020 SN CCA Nov Time Trial', 'MeetKey': '25020', 'PersonKey': '1731452', 'Points': '262', 'SortKey': '1030015421.00', 'Swim Date': '11/21/2020', 'Swim Time': '2:34.21', 'SwimEventKey': '3', 'Team': 'California Capital Aquatics', 'Time Standard': '2020-2024 B', 'UsasSwimTimeKey': '137357784'}",200 FR SCY SCY,124.66,False,23.704476175196547,False
gmo,500 FR SCY,SCY,6:29.54,389.54,2020-11-21,2020 SN CCA Nov Time Trial,11,363.0,California Capital Aquatics,SN,2020-2024 BB,,1731452,4,25020,1040038954.0,68098350,gmo-result,"{""Age"": ""11"", ""Event"": ""500 FR SCY"", ""LSC"": ""SN"", ""Meet"": ""2020 SN CCA Nov Time Trial"", ""MeetKey"": ""25020"", ""PersonKey"": ""1731452"", ""Points"": ""363"", ""SortKey"": ""1040038954.00"", ""Swim Date"": ""11/21/2020"", ""Swim Time"": ""6:29.54"", ""SwimEventKey"": ""4"", ""Team"": ""California Capital Aquatics"", ""Time Standard"": ""2020-2024 BB"", ""UsasSwimTimeKey"": ""68098350""}",2020-11-21,6:29.54,389.54,500.0,freestyle,"{'Age': '11', 'Event': '500 FR SCY', 'LSC': 'SN', 'Meet': '2020 SN CCA Nov Time Trial', 'MeetKey': '25020', 'PersonKey': '1731452', 'Points': '363', 'SortKey': '1040038954.00', 'Swim Date': '11/21/2020', 'Swim Time': '6:29.54', 'SwimEventKey': '4', 'Team': 'California Capital Aquatics', 'Time Standard': '2020-2024 BB', 'UsasSwimTimeKey': '68098350'}",500 FR SCY SCY,325.9,False,19.52746241178277,False
gmo,100 FR SCY,SCY,1:12.19,72.19,2020-11-21,2020 SN CCA Nov Time Trial,11,260.0,California Capital Aquatics,SN,2020-2024 B,,1731452,2,25020,1020007219.0,81537027,gmo-result,"{""Age"": ""11"", ""Event"": ""100 FR SCY"", ""LSC"": ""SN"", ""Meet"": ""2020 SN CCA Nov Time Trial"", ""MeetKey"": ""25020"", ""PersonKey"": ""1731452"", ""Points"": ""260"", ""SortKey"": ""1020007219.00"", ""Swim Date"": ""11/21/2020"", ""Swim Time"": ""1:12.19"", ""SwimEventKey"": ""2"", ""Team"": ""California Capital Aquatics"", ""Time Standard"": ""2020-2024 B"", ""UsasSwimTimeKey"": ""81537027""}",2020-11-21,1:12.19,72.19,100.0,freestyle,"{'Age': '11', 'Event': '100 FR SCY', 'LSC': 'SN', 'Meet': '2020 SN CCA Nov Time Trial', 'MeetKey': '25020', 'PersonKey': '1731452', 'Points': '260', 'SortKey': '1020007219.00', 'Swim Date': '11/21/2020', 'Swim Time': '1:12.19', 'SwimEventKey': '2', 'Team': 'California Capital Aquatics', 'Time Standard': '2020-2024 B', 'UsasSwimTimeKey': '81537027'}",100 FR SCY SCY,58.26,False,23.910058359079986,False
gmo,500 FR SCY,SCY,6:17.97,377.97,2021-02-06,2021 SN CCA Feb Time Trial,11,432.0,California Capital Aquatics,SN,2020-2024 BB,,1731452,4,138609,1040037797.0,68520630,gmo-result,"{""Age"": ""11"", ""Event"": ""500 FR SCY"", ""LSC"": ""SN"", ""Meet"": ""2021 SN CCA Feb Time Trial"", ""MeetKey"": ""138609"", ""PersonKey"": ""1731452"", ""Points"": ""432"", ""SortKey"": ""1040037797.00"", ""Swim Date"": ""02/06/2021"", ""Swim Time"": ""6:17.97"", ""SwimEventKey"": ""4"", ""Team"": ""California Capital Aquatics"", ""Time Standard"": ""2020-2024 BB"", ""UsasSwimTimeKey"": ""68520630""}",2021-02-06,6:17.97,377.97,500.0,freestyle,"{'Age': '11', 'Event': '500 FR SCY', 'LSC': 'SN', 'Meet': '2021 SN CCA Feb Time Trial', 'MeetKey': '138609', 'PersonKey': '1731452', 'Points': '432', 'SortKey': '1040037797.00', 'Swim Date': '02/06/2021', 'Swim Time': '6:17.97', 'SwimEventKey': '4', 'Team': 'California Capital Aquatics', 'Time Standard': '2020-2024 BB', 'UsasSwimTimeKey': '68520630'}",500 FR SCY SCY,325.9,False,15.97729364835841,False
gmo,200 IM SCY,SCY,2:53.84,173.84,2021-02-06,2021 SN CCA Feb Time Trial,11,320.0,California Capital Aquatics,SN,2020-2024 B,,1731452,21,138609,1210017384.0,31100366,gmo-result,"{""Age"": ""11"", ""Event"": ""200 IM SCY"", ""LSC"": ""SN"", ""Meet"": ""2021 SN CCA Feb Time Trial"", ""MeetKey"": ""138609"", ""PersonKey"": ""1731452"", ""Points"": ""320"", ""SortKey"": ""1210017384.00"", ""Swim Date"": ""02/06/2021"", ""Swim Time"": ""2:53.84"", ""SwimEventKey"": ""21"", ""Team"": ""California Capital Aquatics"", ""Time Standard"": ""2020-2024 B"", ""UsasSwimTimeKey"": ""31100366""}",2021-02-06,2:53.84,173.84,200.0,individual medley,"{'Age': '11', 'Event': '200 IM SCY', 'LSC': 'SN', 'Meet': '2021 SN CCA Feb Time Trial', 'MeetKey': '138609', 'PersonKey': '1731452', 'Points': '320', 'SortKey': '1210017384.00', 'Swim Date': '02/06/2021', 'Swim Time': '2:53.84', 'SwimEventKey': '21', 'Team': 'California Capital Aquatics', 'Time Standard': '2020-2024 B', 'UsasSwimTimeKey': '31100366'}",200 IM SCY SCY,152.81,False,13.762188338459524,False
gmo,50 FR SCY,SCY,32.76,32.76,2021-02-06,2021 SN CCA Feb Time Trial,11,327.0,California Capital Aquatics,SN,2020-2024 B,,1731452,1,138609,1010003276.0,72298139,gmo-result,"{""Age"": ""11"", ""Event"": ""50 FR SCY"", ""LSC"": ""SN"", ""Meet"": ""2021 SN CCA Feb Time Trial"", ""MeetKey"": ""138609"", ""PersonKey"": ""1731452"", ""Points"": ""327"", ""SortKey"": ""1010003276.00"", ""Swim Date"": ""02/06/2021"", ""Swim Time"": ""32.76"", ""SwimEventKey"": ""1"", ""Team"": ""California Capital Aquatics"", ""Time Standard"": ""2020-2024 B"", ""UsasSwimTimeKey"": ""72298139""}",2021-02-06,32.76,32.76,50.0,freestyle,"{'Age': '11', 'Event': '50 FR SCY', 'LSC': 'SN', 'Meet': '2021 SN CCA Feb Time Trial', 'MeetKey': '138609', 'PersonKey': '1731452', 'Points': '327', 'SortKey': '1010003276.00', 'Swim Date': '02/06/2021', 'Swim Time': '32.76', 'SwimEventKey': '1', 'Team': 'California Capital Aquatics', 'Time Standard': '2020-2024 B', 'UsasSwimTimeKey': '72298139'}",50 FR SCY SCY,27.65,False,18.481012658227847,False
gmo,100 FR SCY,SCY,1:11.38,71.38,2021-02-06,2021 SN CCA Feb Time Trial,11,283.0,California Capital Aquatics,SN,2020-2024 B,,1731452,2,138609,1020007138.0,12839374,gmo-result,"{""Age"": ""11"", ""Event"": ""100 FR SCY"", ""LSC"": ""SN"", ""Meet"": ""2021 SN CCA Feb Time Trial"", ""MeetKey"": ""138609"", ""PersonKey"": ""1731452"", ""Points"": ""283"", ""SortKey"": ""1020007138.00"", ""Swim Date"": ""02/06/2021"", ""Swim Time"": ""1:11.38"", ""SwimEventKey"": ""2"", ""Team"": ""California Capital Aquatics"", ""Time Standard"": ""2020-2024 B"", ""UsasSwimTimeKey"": ""12839374""}",2021-02-06,1:11.38,71.38,100.0,freestyle,"{'Age': '11', 'Event': '100 FR SCY', 'LSC': 'SN', 'Meet': '2021 SN CCA Feb Time Trial', 'MeetKey': '138609', 'PersonKey': '1731452', 'Points': '283', 'SortKey': '1020007138.00', 'Swim Date': '02/06/2021', 'Swim Time': '1:11.38', 'SwimEventKey': '2', 'Team': 'California Capital Aquatics', 'Time Standard': '2020-2024 B', 'UsasSwimTimeKey': '12839374'}",100 FR SCY SCY,58.26,False,22.51973910058359,False
gmo,100 IM SCY,SCY,1:20.70,80.7,2021-02-20,2021 SN CCA Feb 2021 NSS and CCA,11,323.0,California Capital Aquatics,SN,2020-2024 B,,1731452,20,98333,1200008070.0,9240424,gmo-result,"{""Age"": ""11"", ""Event"": ""100 IM SCY"", ""LSC"": ""SN"", ""Meet"": ""2021 SN CCA Feb 2021 NSS and CCA"", ""MeetKey"": ""98333"", ""PersonKey"": ""1731452"", ""Points"": ""323"", ""SortKey"": ""1200008070.00"", ""Swim Date"": ""02/20/2021"", ""Swim Time"": ""1:20.70"", ""SwimEventKey"": ""20"", ""Team"": ""California Capital Aquatics"", ""Time Standard"": ""2020-2024 B"", ""UsasSwimTimeKey"": ""9240424""}",2021-02-20,1:20.70,80.7,100.0,individual medley,"{'Age': '11', 'Event': '100 IM SCY', 'LSC': 'SN', 'Meet': '2021 SN CCA Feb 2021 NSS and CCA', 'MeetKey': '98333', 'PersonKey': '1731452', 'Points': '323', 'SortKey': '1200008070.00', 'Swim Date': '02/20/2021', 'Swim Time': '1:20.70', 'SwimEventKey': '20', 'Team': 'California Capital Aquatics', 'Time Standard': '2020-2024 B', 'UsasSwimTimeKey': '9240424'}",100 IM SCY SCY,75.75,False,6.534653465346539,False
gmo,50 FR SCY,SCY,33.71,33.71,2021-02-20,2021 SN CCA Feb 2021 NSS and CCA,11,271.0,California Capital Aquatics,SN,Slower than B,,1731452,1,98333,1010003371.0,59912086,gmo-result,"{""Age"": ""11"", ""Event"": ""50 FR SCY"", ""LSC"": ""SN"", ""Meet"": ""2021 SN CCA Feb 2021 NSS and CCA"", ""MeetKey"": ""98333"", ""PersonKey"": ""1731452"", ""Points"": ""271"", ""SortKey"": ""1010003371.00"", ""Swim Date"": ""02/20/2021"", ""Swim Time"": ""33.71"", ""SwimEventKey"": ""1"", ""Team"": ""California Capital Aquatics"", ""Time Standard"": ""Slower than B"", ""UsasSwimTimeKey"": ""59912086""}",2021-02-20,33.71,33.71,50.0,freestyle,"{'Age': '11', 'Event': '50 FR SCY', 'LSC': 'SN', 'Meet': '2021 SN CCA Feb 2021 NSS and CCA', 'MeetKey': '98333', 'PersonKey': '1731452', 'Points': '271', 'SortKey': '1010003371.00', 'Swim Date': '02/20/2021', 'Swim Time': '33.71', 'SwimEventKey': '1', 'Team': 'California Capital Aquatics', 'Time Standard': 'Slower than B', 'UsasSwimTimeKey': '59912086'}",50 FR SCY SCY,27.65,False,21.916817359855344,False
