week_start,sessions,total_distance_m,avg_distance_m,avg_pace_sec_per_100m,median_pace_sec_per_100m,avg_hr,avg_distance_per_stroke_m,avg_swolf
2024-12-23,3,15133.320404052734,5044.440134684245,94.99303903986127,92.69548790405958,,3.115203647440268,
2024-12-30,6,28552.1407623291,4758.690127054851,100.05443957822546,99.45597598887119,,3.439888744276312,
2025-01-06,4,16024.860427856445,4006.2151069641113,98.88261451120624,95.60617224525134,,3.1191192526568456,
2025-01-13,4,16253.460433959961,4063.3651084899902,93.83799893757914,89.23693491835458,,3.0628241736970327,
2025-01-20,7,18831.620040893555,2690.231434413365,106.65978828347724,93.48947967627109,,3.0984065908670906,
2025-01-27,5,16093.4404296875,3218.6880859375,91.50717827412309,91.6142360443457,,3.19841971425875,
2025-02-10,6,22014.180587768555,3669.030097961426,107.69175359296992,97.30446563695,,2.9368392789999453,
2025-02-17,5,18493.740493774414,3698.748098754883,93.72281529683296,92.49350752926833,,2.924843593644058,
2025-02-24,5,16162.020431518555,3232.4040863037108,101.43668148946172,98.04818210699207,,3.0137466747365282,
2025-03-03,3,9692.640258789062,3230.880086263021,118.71073689289652,132.65585690609595,,2.9275082723668286,
2025-03-10,2,7886.700210571289,3943.3501052856445,91.42138586622654,91.42138586622654,,3.385303347527863,
2025-03-17,3,6286.50016784668,2095.500055948893,106.98938861313955,105.57148335912858,,2.8769549777880408,
2025-03-24,3,10012.680267333984,3337.560089111328,92.11252942181831,92.98165739756514,,3.2657784176333973,
2025-03-31,3,11567.16030883789,3855.7201029459634,94.33288553858206,94.54971418888451,,3.2107728691233497,
2025-04-07,5,16139.160430908203,3227.8320861816405,96.93798117108435,92.36446951831537,,3.042537498463781,
2025-04-14,6,20665.440551757812,3444.2400919596353,92.23878243355072,87.21483680546567,,3.1431559559783344,
2025-04-21,4,15430.500411987305,3857.625102996826,90.7961860306846,90.60870681666232,,2.945330666745836,
2025-04-28,6,19362.420516967773,3227.0700861612954,93.09946084242755,91.24777673320382,,2.8881381344983086,
2025-05-05,4,8001.000213623047,2000.2500534057617,110.45663587825373,106.07883187313094,,3.190595040573604,
2025-05-12,5,15476.220413208008,3095.2440826416014,95.71172803664525,88.7181909891348,,2.9506034162037453,
2025-05-19,3,9578.340255737305,3192.780085245768,86.47033574624146,82.6893500585704,,3.316421491584966,
2025-05-26,4,13030.20034790039,3257.5500869750977,99.3816656085219,98.1883856881019,,3.0275587287487435,
2025-06-02,4,12237.560089111328,3059.390022277832,105.5752360341669,104.18541623558318,,2.730604445383562,
2025-06-09,7,18047.520385742188,2578.21719796317,141.0108688410479,116.31467457938105,,2.4098792551005297,
2025-06-16,7,25730.560119628906,3675.7943028041295,128.21705460343009,119.86236340816225,,2.9469921303152424,
2025-06-23,6,20543.800201416016,3423.9667002360025,111.146704244627,111.51340075610464,,3.0867585640375617,
2025-06-30,5,14872.700271606445,2974.540054321289,125.21770473766556,104.02114757738818,,2.5886970371924773,
2025-07-07,6,19200.0,3200.0,108.78229186779241,106.00172443663017,,2.711997350033366,
2025-07-14,3,6600.0,2200.0,141.58360905106395,144.12537856329055,,2.5797441947113118,
2025-07-21,3,6497.580093383789,2165.8600311279297,144.89207921959027,146.39687663316727,,2.9808056229624236,
2025-08-04,1,3550.0,3550.0,118.25444413910449,118.25444413910449,,3.615070443259449,
2025-08-11,3,8092.440216064453,2697.4800720214844,134.1983940471493,120.56186660360062,,3.328092599105599,
2025-08-18,3,6743.700180053711,2247.900060017904,114.84776029120695,107.75127357210783,,3.2660361080959834,
2025-08-25,4,10972.80029296875,2743.2000732421875,109.09666316891307,110.9402073454556,,3.056836894310278,
2025-09-01,3,10881.360290527344,3627.1200968424478,103.83578677097809,100.43965767871438,,3.28126892696619,
